Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
Complete Hypnotherapy & Hypnosis Certification Diploma,4.7,5,0.5,3524,Lifestyle,Esoteric Practices,Hypnotherapy,Dr Karen E Wells,English,FALSE,0,4,0,3,0,Yes,104.98,26
Pinterest Marketing for Wedding Professionals 2020,5,5,0.5,1,Marketing,Social Media Marketing,Pinterest Marketing,Staci Nichols,English,FALSE,0,0,0,0.6,2,No,29.98,22
Master the Telephone Sales- Cold calling Secrets,4.5,5,0.5,3,Marketing,Product Marketing,Marketing Strategy,Sanjay Bhasin,English,FALSE,0,0,0,0.733333333,0,No,29.98,22
5 Practical Management concepts you MUST know,5,5,0.5,2,Personal Development,Leadership,Management Skills,Vasudev Murthy,English,FALSE,0,0,0,2,0,No,49.98,22
Fermented Foods Mastery,4.5,5,0.5,187,Health & Fitness,Nutrition,Fermented Foods,Kale Brock,English,FALSE,0,3,0,1.5,12,No,68.98,24
Your Guide To Creating Money-Savvy Kids,5,5,0.5,2,Finance & Accounting,Other Finance & Accounting,Personal Finance,Jeremy Saker,English,FALSE,0,0,0,1.5,15,No,29.98,22
Wix Master Course: Make A Website with Wix (FULL 4 HOURS),4.4,5,0.5,1309,Development,No-Code Development,Wix,Nickie Rowley,English,FALSE,0,1,0,4.5,3,Yes,40.98,27
"The Complete App Design Course - UX, UI and Design Thinking",4.4,5,0.5,8421,Design,User Experience Design,Mobile App Design,App Brewery Co.,English,FALSE,0,14,0,3,1,No,128.98,22
Product Marketing Fundamentals,4.5,5,0.5,1,Marketing,Product Marketing,Marketing Strategy,Institute of Product Leadership,English,FALSE,0,0,0,2.5,0,No,49.98,22
Analog Circuit Crash Course for VLSI Interview and GATE exam,5,5,0.5,3,IT & Software,Hardware,VLSI,Learnin28days Academy,English,FALSE,0,0,0,7,0,No,29.98,29.98
How to write your teaching portfolio,5,5,0.5,2,Teaching & Academics,Other Teaching & Academics,Professional Portfolio,Dr. Elisabeth Weber,English,FALSE,0,0,0,2,14,No,128.98,22
Procedural Materials In Blender,0,0,0,0,Design,3D & Animation,Blender,Canopy Games,English,FALSE,0,0,0,3.5,6,No,29.98,22
Indicators of attacks by using Wireshark,5,5,0.5,1,IT & Software,Network & Security,Cyber Security,Ali N F,English,FALSE,0,0,0,4.5,2,No,128.98,22
Creative Ideas for Logo Animation,4.5,5,0.5,25,Photography & Video,Other Photography & Video,Motion Graphics,Tiger Verse,English,FALSE,0,0,0,0.55,4,No,59.98,22
Learn to Sing Beginner to Pro! - #1 Complete Singing Course,4.7,5,0.5,75,Music,Vocal,Singing,Emily Reed,English,FALSE,0,5,0,1.5,34,No,108.98,22
Grow Your Network With Live Streams on Meerkat,5,5,0.5,1,Marketing,Social Media Marketing,Live Streaming,Benjamin East,English,FALSE,0,1,0,0.716666667,0,No,29.98,22
Find your dream job/ internship using Angel List Talent,4.3,5,0.5,6,Personal Development,Career Development,Job Search,Studism Classes,English,FALSE,0,0,0,0.566666667,0,No,29.98,22
Create Your Own VirtualBox Windows Server Lab from Scratch!,5,5,0.5,44,IT & Software,Operating Systems & Servers,VirtualBox,"Alton Hardin | 100,000+ Enrollments Worldwide",English,FALSE,0,4,0,2.5,2,No,40.98,22
Managing International Teams: your Keys to Success,5,5,0.5,3,Business,Human Resources,Virtual Teams,Nathalie Delplanque,English,FALSE,0,0,0,1,2,No,68.98,22
Introduction to Mind Mapping,5,5,0.5,1,Personal Development,Memory & Study Skills,Mind Mapping,Jayne Cormie,English,FALSE,0,3,0,3,50,No,59.98,59.98
Learn piano or keyboard from scratch - Complete piano course,4.7,5,0.5,2814,Music,Instruments,Piano,Martin Cohen,English,FALSE,0,36,0,22.5,480,No,128.98,22
Consciously Creating - Healing Your Unconscious Patterns,5,5,0.5,4,Personal Development,Personal Transformation,Self-Acceptance,Julia Chi Taylor,English,FALSE,0,0,0,3,10,No,55.98,55.98
Nikon DSLR Photography: Getting Started with Your DSLR,4.5,5,0.5,367,Photography & Video,Photography Tools,DSLR,Phil Ebiner,English,FALSE,0,3,0,2,7,No,108.98,22
The Scrum Bootcamp | Scrum Practices | Scrum Case Studies,4.6,5,0.5,136,Teaching & Academics,Other Teaching & Academics,Scrum,"Elite Instructors, PMP ®, RMP®, ACP®, PRINCE2® Practitioner",English,FALSE,0,2,0,5,8,No,128.98,22
Songwriting Basics for Ballads in 7 Easy Steps,0,0,0,0,Music,Other Music,Songwriting,Franco Bello,English,FALSE,0,0,0,1.5,9,No,34.98,22
Hotel Management - Night Auditing Procedures,3,5,0.5,1,Finance & Accounting,Finance,Hotel Management,RAVI Sharma Hospitality Academy,English,FALSE,0,0,0,1.5,0,No,29.98,22
Adobe Connect Basic Tools,0,0,0,0,Teaching & Academics,Online Education,Video Conferencing,Penta Teknoloji,English,FALSE,0,0,0,1.5,0,No,128.98,22
NAVIGATION: Piloting Small Boats,3.5,5,0.5,28,Lifestyle,Travel,Marine Navigation,Larry Prucha,English,FALSE,0,0,0,1.5,10,No,29.98,22
Blue Prism Foundation Course,4.6,5,0.5,3714,IT & Software,Other IT & Software,Blue Prism,Arun Nair,English,FALSE,0,0,0,6,0,Yes,29.98,22
Facebook Accelerator For Artists,5,5,0.5,2,Design,Graphic Design & Illustration,Facebook Marketing,Melanie Greenwood,English,FALSE,0,0,0,1.5,1,No,88.98,22
